device_grouped,percentage,cluster
iPhone_new,78.42,-1
iPhone_old,16.92,-1
Other,2.52,-1
iPad,2.13,-1
iPhone_new,76.71,0
iPhone_old,18.92,0
iPad,3.28,0
Other,1.09,0
iPhone_new,78.74,1
iPhone_old,19.98,1
iPad,1.0,1
Other,0.28,1
iPhone_new,64.06,2
iPhone_old,34.99,2
iPad,0.84,2
Other,0.11,2
iPhone_new,84.68,3
iPhone_old,13.42,3
iPad,1.64,3
Other,0.25,3
iPhone_new,79.83,4
iPhone_old,18.39,4
iPad,1.22,4
Other,0.57,4
iPhone_new,81.22,5
iPhone_old,16.71,5
iPad,1.52,5
Other,0.54,5
iPhone_new,79.2,6
iPhone_old,18.33,6
iPad,1.63,6
Other,0.84,6
