goal_adjust_grouped,percentage,cluster
small_goal,49.52,-1
default_goal,46.18,-1
big_goal,2.24,-1
medium_goal,2.06,-1
default_goal,53.48,0
small_goal,35.9,0
big_goal,6.21,0
medium_goal,4.41,0
small_goal,35.63,1
default_goal,29.18,1
big_goal,28.44,1
medium_goal,6.75,1
small_goal,31.92,2
big_goal,31.81,2
default_goal,31.33,2
medium_goal,4.94,2
default_goal,78.31,3
big_goal,9.8,3
medium_goal,7.88,3
small_goal,4.0,3
default_goal,36.72,4
small_goal,33.35,4
big_goal,19.8,4
medium_goal,10.13,4
default_goal,72.44,5
big_goal,12.89,5
medium_goal,11.21,5
small_goal,3.46,5
small_goal,53.51,6
default_goal,22.77,6
big_goal,13.03,6
medium_goal,10.68,6
