product_id_grouped,percentage,cluster
paid_yearly,58.05,-1
trial_yearly,30.34,-1
paid_yearly_pro,5.62,-1
paid_monthly_pro,4.87,-1
paid_3months,1.12,-1
trial_yearly,75.89,0
paid_yearly,16.49,0
paid_monthly_pro,3.86,0
paid_yearly_pro,2.92,0
paid_3months,0.84,0
paid_yearly,52.69,1
trial_yearly,37.57,1
paid_monthly_pro,5.25,1
paid_yearly_pro,2.85,1
paid_3months,1.63,1
paid_yearly,75.35,2
trial_yearly,16.89,2
paid_monthly_pro,3.66,2
paid_3months,2.25,2
paid_yearly_pro,1.84,2
trial_yearly,78.6,3
paid_yearly,8.68,3
paid_monthly_pro,6.9,3
paid_yearly_pro,4.06,3
paid_3months,1.76,3
trial_yearly,79.5,4
paid_yearly,9.16,4
paid_monthly_pro,6.01,4
paid_yearly_pro,3.91,4
paid_3months,1.42,4
trial_yearly,80.06,5
paid_yearly,10.12,5
paid_monthly_pro,5.66,5
paid_yearly_pro,2.95,5
paid_3months,1.21,5
trial_yearly,81.0,6
paid_yearly,8.31,6
paid_monthly_pro,6.07,6
paid_yearly_pro,3.35,6
paid_3months,1.27,6
